mean_score,std dev score, max_features, min_samples_split, criterion, max_depth, min_samples_leaf
0.939007827794,0.00582942875674,log2,2,gini,9,2
0.932515037388,0.00338623915024,log2,16,gini,9,2
0.935309650079,0.0116294693157,log2,64,gini,9,2
0.916288908698,0.0138113051787,log2,512,gini,9,2
0.896048807666,0.00837050050906,log2,1024,gini,9,2
0.874685002411,0.0229483274383,log2,2048,gini,9,2
0.858395759882,0.00856168317536,log2,4096,gini,9,2
0.827861422732,0.0273296124702,log2,8192,gini,9,2
0.816844413619,0.0300071663576,log2,16384,gini,9,2
0.938553668044,0.0125852027815,log2,2,gini,9,16
0.935368702354,0.0129438029097,log2,16,gini,9,16
0.935438253633,0.00403033232357,log2,64,gini,9,16
0.916643142805,0.0011189730969,log2,512,gini,9,16
0.903199326895,0.0096586198301,log2,1024,gini,9,16
0.886383426786,0.0121240209781,log2,2048,gini,9,16
0.862135221102,0.00355720044813,log2,4096,gini,9,16
0.848683731777,0.0033827053399,log2,8192,gini,9,16
0.809905751125,0.0177887767342,log2,16384,gini,9,16
0.916199655076,0.00976602835175,log2,2,gini,9,64
0.920593458614,0.00649764105031,log2,16,gini,9,64
0.927665332867,0.007666354453,log2,64,gini,9,64
0.899797400605,0.0025082401345,log2,512,gini,9,64
0.897131473264,0.00775544808845,log2,1024,gini,9,64
0.873892040641,0.00788853169842,log2,2048,gini,9,64
0.844704012617,0.00988777092771,log2,4096,gini,9,64
0.841646418497,0.00952238691979,log2,8192,gini,9,64
0.834651859744,0.0320726942307,log2,16384,gini,9,64
0.881025160547,0.00604285608802,log2,2,gini,9,512
0.866188954082,0.0215124143305,log2,16,gini,9,512
0.880855845022,0.00738822475152,log2,64,gini,9,512
0.882460454356,0.00384992558044,log2,512,gini,9,512
0.872591691758,0.0114083767418,log2,1024,gini,9,512
0.879306127711,0.0152542748018,log2,2048,gini,9,512
0.866256195045,0.0232488316578,log2,4096,gini,9,512
0.854500658261,0.0139526922358,log2,8192,gini,9,512
0.852702096729,0.00570603354238,log2,16384,gini,9,512
0.85186994131,0.0145041403468,log2,2,gini,9,1024
0.866463009915,0.0188102115524,log2,16,gini,9,1024
0.869678206214,0.0167842328188,log2,64,gini,9,1024
0.858458261652,0.00551417100969,log2,512,gini,9,1024
0.862979355312,0.0178912378247,log2,1024,gini,9,1024
0.86822357879,0.0180111894123,log2,2048,gini,9,1024
0.844955234702,0.00686258140898,log2,4096,gini,9,1024
0.854257416289,0.000607462217091,log2,8192,gini,9,1024
0.760733678825,0.0813287419867,log2,16384,gini,9,1024
0.845008781633,0.012746382272,log2,2,gini,9,2048
0.862364798787,0.00986061337334,log2,16,gini,9,2048
0.864531046826,0.0271349926869,log2,64,gini,9,2048
0.841023863201,0.0163815664475,log2,512,gini,9,2048
0.850935027734,0.00638803422378,log2,1024,gini,9,2048
0.8449251598,0.0232011500597,log2,2048,gini,9,2048
0.846826465938,0.0167546867799,log2,4096,gini,9,2048
0.838317993959,0.0116360090638,log2,8192,gini,9,2048
0.795400139486,0.0550868200125,log2,16384,gini,9,2048
0.813570637409,0.0411595592602,log2,2,gini,9,4096
0.82072833305,0.0284917428587,log2,16,gini,9,4096
